"State","Detached","Branch","Path"
"dirty","False","feat/dashboard-overview-cockpit","C:/Users/larsh/Desktop/Business/Verisight"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/aanpak-live-release"
"clean","False","feat/action-center-managers-mainline","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ac-managers-mainline"
"clean","False","feat/action-center-reviewmomenten-mainline","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ac-reviewmomenten-mainline"
"dirty","False","codex/action-center-adapter-readiness","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-adapter-readiness"
"clean","False","codex/action-center-adapter-wave","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-adapter-wave"
"clean","False","codex/action-center-canon-update","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-canon-update"
"dirty","False","codex/action-center-follow-up-route-trigger","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-follow-up-route-trigger"
"clean","False","codex/action-center-governance-rights","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-governance-rights"
"clean","False","codex/action-center-limited-manager-interaction","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-limited-manager-interaction"
"clean","False","codex/action-center-live-truth-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-live-truth-pass"
"clean","False","codex/action-center-live-wiring-slice","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-live-wiring-slice"
"clean","False","codex/action-center-manager-action-hardening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-manager-action-hardening"
"dirty","False","feat/action-center-managers-page","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-managers-page"
"clean","False","codex/action-center-mto-audit","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-mto-audit"
"clean","False","codex/action-center-mto-carrier","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-mto-carrier"
"clean","False","codex/action-center-ops-inregeling","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-ops-inregeling"
"clean","False","codex/action-center-ops-pilot","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-ops-pilot"
"clean","False","codex/action-center-pilot-go-no-go-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-pilot-go-no-go-review"
"clean","False","codex/action-center-pilot-operationalisering","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-pilot-operationalisering"
"clean","False","codex/action-center-pilot-readiness-hardening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-pilot-readiness-hardening"
"clean","False","codex/action-center-preview-adoption","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-preview-adoption"
"clean","False","codex/action-center-proposition-contract","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-proposition-contract"
"clean","False","codex/action-center-reliable-ops","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-reliable-ops"
"clean","False","codex/action-center-reporting-readback","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-reporting-readback"
"clean","False","codex/action-center-review-result-loop","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-review-result-loop"
"clean","False","codex/action-center-richer-review-decisions","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-richer-review-decisions"
"clean","False","codex/action-center-route-action-cards","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-route-action-cards"
"dirty","False","codex/action-center-route-closeout","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-route-closeout"
"clean","False","codex/action-center-route-reopen","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-route-reopen"
"clean","False","codex/action-center-route-summary","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-route-summary"
"clean","False","codex/action-center-scan-route-inbedding","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-scan-route-inbedding"
"clean","False","codex/action-center-second-live-consumer","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-second-live-consumer"
"clean","False","codex/action-center-shared-core","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-shared-core"
"dirty","False","codex/action-center-shared-core-plan","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-shared-core-plan"
"clean","False","codex/action-center-site-copy","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-site-copy"
"clean","False","codex/action-center-strategy-alignment","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-strategy-alignment"
"clean","False","codex/action-center-ux-volwassenheid","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/action-center-ux-volwassenheid"
"clean","False","codex/assisted-saas-closeout-track","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/assisted-saas-closeout-track"
"clean","False","codex/baseline-first-commercial-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/baseline-first-commercial-implementation"
"clean","False","codex/marketing-copy-commercial-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/baseline-first-main-release"
"clean","False","codex/billing-self-serve-model","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/billing-self-serve-model"
"clean","False","codex/billing-telemetry-proof-landing","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/billing-telemetry-proof-landing"
"clean","False","fix/blog-pr-permission-errors","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/blog-pr-permission-fix"
"clean","False","fix/blog-public-live","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/blog-public-live-fix"
"clean","False","main","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/blog-publish-run"
"clean","False","codex/broader-live-proof-and-pilot-layer","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/broader-live-proof-and-pilot-layer"
"clean","False","codex/vp5-issue-30-cleanup-split","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/codex-vp5-issue-30-cleanup-split"
"clean","False","codex/commercial-message-architecture","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-message-architecture"
"clean","False","codex/commercial-operating-model","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-operating-model"
"clean","False","codex/commercial-operating-model-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-operating-model-implementation"
"clean","False","codex/commercial-todo-wave","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-todo-wave"
"clean","False","codex/commercial-track-closeout","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-track-closeout"
"clean","False","codex/contact-email-live-fix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-email-live-fix"
"clean","False","codex/contact-schema-fix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-schema-fix"
"clean","False","codex/contact-schema-release","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-schema-release"
"clean","False","codex/contact-success-label-live","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-success-label-live"
"clean","False","codex/copy-alignment-suite-truth","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/copy-alignment-suite-truth"
"clean","False","codex/ct2-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct2-landing-temp"
"clean","False","codex/ct3-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct3-landing-temp"
"clean","False","codex/ct4-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct4-landing-temp"
"clean","False","codex/cta-demo-salesflow-sharpening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/cta-demo-salesflow-sharpening"
